dataset,matcher,precision,recall,f1-measure
conference-confOf,word2VecStemmeddeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
conference-confOf,esaSim,0.6153846153846154,0.5333333333333333,0.5714285714285715
conference-confOf,level2_jaro,0.3333333333333333,0.6666666666666666,0.4444444444444444
conference-confOf,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.24324324324324326,0.6,0.34615384615384615
conference-confOf,smoaDistance,0.2653061224489796,0.8666666666666667,0.40625
conference-confOf,jiangConrath,0.7777777777777778,0.4666666666666667,0.5833333333333334
conference-confOf,needlemanWunsch2Distance,0.875,0.4666666666666667,0.608695652173913
conference-confOf,umbcSim,0.6666666666666666,0.5333333333333333,0.5925925925925926
conference-confOf,soft_tfidf_jaro,0.55,0.7333333333333333,0.6285714285714286
conference-confOf,word2VecStemmeddeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.875,0.4666666666666667,0.608695652173913
conference-confOf,mongeElkan,0.16666666666666666,0.8,0.27586206896551724
conference-confOf,simple_tfidf,0.7857142857142857,0.7333333333333333,0.7586206896551724
conference-confOf,jaro_winkler_tfidf,0.6470588235294118,0.7333333333333333,0.6875
conference-confOf,levenshteinDistance,0.7777777777777778,0.4666666666666667,0.5833333333333334
conference-confOf,hammingDistance,0.875,0.4666666666666667,0.608695652173913
conference-confOf,equalDistance,0.875,0.4666666666666667,0.608695652173913
conference-confOf,subStringDistance,0.5833333333333334,0.4666666666666667,0.5185185185185186
conference-confOf,ngramDistancedeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
conference-confOf,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
conference-confOf,jaroMeasure,0.34615384615384615,0.6,0.43902439024390244
conference-confOf,best_base_matcher,0.7857142857142857,0.7333333333333333,0.7586206896551724
conference-edas,core_platform,0.7777777777777778,0.4117647058823529,0.5384615384615384
conference-edas,majority_vote,0.7777777777777778,0.4117647058823529,0.5384615384615384
conference-edas,ngramDistance,0.5833333333333334,0.4117647058823529,0.4827586206896552
conference-edas,wuPalmer,0.27586206896551724,0.47058823529411764,0.34782608695652173
conference-edas,wuPalmerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
conference-edas,path,0.5833333333333334,0.4117647058823529,0.4827586206896552
conference-edas,lin,0.4375,0.4117647058823529,0.42424242424242425
conference-edas,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.046632124352331605,0.5294117647058824,0.0857142857142857
conference-edas,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.08053691275167785,0.7058823529411765,0.14457831325301204
conference-edas,jaroWinklerMeasure,0.08053691275167785,0.7058823529411765,0.14457831325301204
conference-edas,word2Vec,0.5384615384615384,0.4117647058823529,0.4666666666666667
conference-edas,level2_jara_winkler,0.046632124352331605,0.5294117647058824,0.0857142857142857
conference-edas,prefix,0.1951219512195122,0.47058823529411764,0.27586206896551724
conference-edas,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
conference-edas,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.5833333333333334,0.4117647058823529,0.4827586206896552
conference-edas,equalDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.875,0.4117647058823529,0.56
conference-edas,word2VecStemmed,0.6,0.35294117647058826,0.4444444444444445
conference-edas,jaccard,0.875,0.4117647058823529,0.56
